1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
70.832,80.897,72.25,64.5,69.902,80.724,58.883,71.563,61.253,95,69.705,80.962,77.336,79.265,82.708,70.026,50.35,83.807,73.767,73.027,83.888,73.018,71.251,NaN,51.053,76.158,68,76.657,62.092,75.858,79.093,72.006,82.753,85.704,79.074,94.991,86.289,79.754,78.821,82.988,78.418,91.264,90.929,78.2,84.21982065,59.471,82.964,84.018,88.154,80.29,45.325,74.447,81.173,92.264,80.004,90.896,75,79.177,94.413,82,74.045
72.722,81.026,72.734,61.975,70.046,80.285,57.09,71.377,60.959,95,70.054,81.027,78.482,78.888,81.604,67.782,52.008,82.905,74.892,72.225,82.55,72.29,71.733,95,51.019,77.558,68.02,75.912,62.934,75.246,78.964,71.94,84.679,85.265,78.985,95,88.348,76.078,78.941,82.213,77.973,91.076,91.017,78.753,83.96131883,57.498,84.604,83.98,88.039,80.698,47.26,75.019,80.942,92.903,79.995,88.575,74.999,79.696,94.185,82.001,73.967
72.24,80.195,73.107,62.049,69.993,79.081,57.75,70.915,60.981,95,69.986,81.789,76.705,80.677,83.196,73.059,51.169,83.042,75.011,73.544,82.697,71.142,72.897,95,51.8,76.223,69.609,73.548,61.521,75.001,79.031,71.25,82.654,85.021,78.973,94.999,87.835,75.603,79.005,81.975,78.003,90.806,91.082,77.132,84.0073312,56.814,85.073,84.01,89.758,80.294,49.479,75.063,81.821,93.236,80.03,86.736,75,80.137,94.02,82,74.787
71.196,79.959,73.819,61.962,70.803,79.005,58.044,71.841,60.123,95,69.984,82.029,76.027,81.677,85.032,76.231,50.976,82.994,74.995,74.1,83.07,70.1,73.037,95,51.103,74.83,69.8,72.164,60.35,75.234,79.781,71.842,81.867,85.037,79.057,94.997,87.348,75.349,78.778,82.805,78.756,90.406,91.906,75.744,84.01493449,56.094,84.991,83.165,90.02,83.463,42.287,74.441,82.007,89.633,80.723,86.003,74.919,80.497,93.914,82.053,75.846
71.469,80.096,74.034,61.223,70.993,78.995,58.704,72.017,60.058,95,70.175,82.011,77.885,80.688,82.539,70.445,51.08,83.799,75.007,73.937,82.985,71.951,72.855,95,52.076,75.575,66.239,72.771,62.091,75.816,80.045,72.189,80.977,85.209,77.752,95,88.607,73.961,78.033,83.034,79.911,89.945,92.027,77.548,83.9497652,56.199,86.042,83.178,91.148,86.502,39.429,74.544,81.212,89.435,80.298,86.333,74.714,80.814,93.812,82.194,75.16
68.579,80.925,72.932,60.949,70.129,79.006,59.931,72.942,60.945,95,71.797,81.887,77.985,82.939,82.105,64.21,51.952,84.033,74.927,74.152,82.911,73.84,72.29,95,52.616,77.266,65.128,72.241,61.552,76.564,79.977,72.809,79.037,85.455,76.455,94.98,88.071,74.29,76.969,82.98,79.239,89.506,91.965,76.531,84.24574764,56.815,86.917,84.59,92.991,87.622,45.609,75.031,80.879,91.61,80.748,87.141,74.456,81.121,93.713,82.391,74.947
70.766,80.881,72.043,61.037,69.974,78.989,61.785,74.037,60.863,95,70.999,81.207,78.035,79.07,83.779,65.126,51.824,84.052,74.042,74.966,82.171,73.327,72.694,95,51.057,75.091,67.245,72.918,61.374,77.297,80.022,71.893,79.396,85.716,77.815,95,88.245,76.706,75.787,83.021,78.035,89.163,92.073,75.052,84.77924581,55.954,85.724,81.303,92.903,87.58,45.685,75.661,80.091,93.743,80.228,88.178,74.209,81.456,93.617,82.616,75.065
72.076,80.027,71.78,60.988,70.02,79.024,62.038,73.721,60.144,95,69.978,81.846,77.92,80.751,83.043,64.617,51.28,84.932,74.231,74.976,82.92,74.97,72.238,95,52.447,73.184,67.823,73.935,61.917,77.835,79.885,70.719,82.463,85.913,76.915,94.287,88.225,75.607,74.693,82.961,79.126,89.007,91.681,74.05,84.00677655,56.339,85.234,78.546,91.702,86.865,47.02,75.337,80.077,93.877,80.869,89.162,74.038,81.845,93.525,82.838,74.798
72.007,80.011,71.06,62.075,69.967,78.944,61.985,72.056,61.221,95,70.01,82.201,78.341,80.889,83.254,64.405,51.779,83.903,74.785,75.073,82.876,74.763,72.976,95,54.427,72.915,67.069,73.029,62.839,78.001,78.977,69.913,83.88,85.998,77.471,93.142,87.632,74.188,73.883,83.207,80.711,89,91.304,74.303,84.00967417,57.076,86.097,78.859,91.26,87.928,44.188,74.068,80.905,86.32,81.036,89.857,74.01,82.398,93.438,83.031,74.292
71.642,79.977,70.73,62.915,70.192,79.248,62.008,72.058,61.934,95,70.018,82.74,78.64,NaN,83.722,64.654,51.007,83.511,74.005,74.666,82.132,74.218,73.018,95,55.246,72.565,68.33,73.096,64.078,77.888,79.147,70.363,82.536,85.429,79.326,92.159,92.482,76.396,73.187,83.995,79.172,89,92.098,76.509,83.98830742,56.662,85.619,83.441,92.155,91.408,40.835,74.021,81.032,88.733,80.975,89.805,74.14,83.225,93.356,83.237,74.772
