ID,injury,raw ,sig
2,1,-0.109755635,0.472588603
2,1,-5.471359,0.004187901
2,1,-0.64351285,0.344452887
2,1,-8.665784,0.000172355
2,1,2.6411827,0.933465457
2,1,-3.4936378,0.029493798
2,1,-2.8515942,0.054598969
2,1,-12.606117,3.35E-06
2,1,-12.720301,2.99E-06
2,1,-10.573033,2.56E-05
2,1,-4.092875,0.016417156
2,1,-0.06113147,0.48472189
2,1,2.144427,0.895146852
2,1,1.9430219,0.874683755
2,1,-4.984892,0.006794042
2,1,-2.1072428,0.10839485
2,1,-5.8273883,0.002937108
2,1,-1.080755,0.253363167
2,1,-1.3635375,0.203665967
2,1,-0.8126578,0.307324424
2,1,-8.40074,0.000224651
2,1,-4.7048397,0.008970173
2,1,-6.0448666,0.002364393
2,1,-8.242078,0.000263267
2,1,-11.1496935,1.44E-05
2,1,-5.5102735,0.004028705
3,0,-11.530939,9.82E-06
3,0,-11.258126,1.29E-05
3,0,-9.105491,0.000111042
3,0,-9.97861,4.64E-05
3,0,-13.359809,1.58E-06
3,0,-9.892444,5.06E-05
3,0,-7.2259617,0.000726924
3,0,-6.1796236,0.002066926
3,0,-5.0100384,0.006626444
3,0,-8.301843,0.000247998
3,0,-12.719277,2.99E-06
3,0,-14.411431,5.51E-07
3,0,-16.572718,6.35E-08
3,0,-21.342476,5.38E-10
3,0,-15.343129,2.17E-07
3,0,-14.109548,7.45E-07
3,0,-19.588892,3.11E-09
3,0,-12.008164,6.09E-06
3,0,-14.578555,4.66E-07
3,0,-6.9232802,0.000983626
3,0,-5.13265,0.005866286
4,0,-7.8763785,0.000379461
4,0,-4.961338,0.006954842
4,0,-8.249343,0.000261362
4,0,-7.0949306,0.000828611
4,0,-3.1214128,0.042232589
4,0,-5.866042,0.002826059
4,0,-0.8559577,0.298184589
4,0,0.96892786,0.724905746
4,0,-2.7227952,0.061641588
4,0,-3.7622738,0.022703438
4,0,-2.9882095,0.04796138
4,0,-1.2299283,0.226193975
4,0,2.7626345,0.940622946
4,0,-4.470686,0.011310084
4,0,3.1043708,0.957072677
4,0,-3.7539008,0.022889962
4,0,1.7005899,0.845611764
4,0,2.4464214,0.920299361
4,0,-1.9131113,0.128631717
4,0,-0.4261812,0.395038593
4,0,2.3281038,0.911177992
4,0,6.3746696,0.998298717
4,0,11.084389,0.99998465
4,0,4.8484373,0.992220377
4,0,3.9578106,0.981253258
4,0,-1.9568261,0.123810947
4,0,-2.9877064,0.047984357
4,0,-6.797763,0.001115025
4,0,-6.6507945,0.001291325
4,0,-9.82278,5.42E-05
4,0,-3.7180667,0.02370528
4,0,-5.5912223,0.003716601
4,0,3.8033426,0.978190155
4,0,-1.872073,0.133302041
